brand,category,dimension10,dimension11,dimension24,dimension25,dimension26,dimension9,ean,id,name,price
ASUS,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,4718017026437,1436882,"Portátil Gaming - Asus FX504GD-EN561, 15.6"", 16GB, 128G/1TB, i7-8750H, NVIDIA GeForce GTX1050, Negro",1099.0
ACER,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,4713883363457,1380710,"Portátil gaming - Acer Nitro 5, AN515-51-76J3, Full HD, 15.6 pulgadas, i7-7700HQ, 16 GB, 1 TB HDD,",1216.0
ASUS,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,4718017057295,1436894,"Portátil - Asus UX550GD-BN026T, 15"", Full HD, Intel® Core™ i7-8750H, 8GB, 256GB, GTX1050, Negro",1356.0
LENOVO,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0192158380391,1401695,"Portátil - Lenovo Ideapad 320-15AST, 15.6"" HD, AMD A9-9420, 4 GB RAM, 128 GB SSD, AMD Radeon 530,",399.0
APPLE,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0190198712127,1426943,"Apple MacBook Pro Retina 15"", MR942Y/A, Intel® Core™ I7 8850H, 8ª Generación, 16 GB R",2951.0
LENOVO,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0192651535984,1427684,"Portátil - Lenovo Ideapad 330-15IKB, 15.6"", i7-8550U, 4 GB RAM, 1TB HDD, Gris platino",749.0
LENOVO,Informática y telefonía,Gaming,Portátiles,21.0,InStock,5.99,Informática,0192651540629,1430918,Y530-15ICH I7/8750H/16/1+256/GTX1050 4GB/W10,1299.0
ASUS,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,4718017065740,1436915,"Portátil - Asus K540UB-GQ346T, 15"", HD, Intel® Core™ i5-8250U, MX110, 12GB, 256GB, Negro",767.0
HP,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0193015050884,1427682,"Portátil - HP 15-DB0023NS, AMD A9-9425, 8 GB, 1 TB HDD, Plata natural",459.0
LENOVO,Informática y telefonía,Portátiles,"Portátiles de menos de 14""",21.0,InStock,1.99,Informática,0192651536028,1427750,330-15IKBR15/I3-7020U/4GB/500GB/UMA/FREEDOS,349.0
ASUS,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,4712900668643,1366284,"Portátil Gaming - Asus GL553VD-DM067T, 15.6"" Full HD, i7-7700HQ, 8 GB RAM, Memoria de 1 TB, Negro",1149.0
LENOVO,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0192158133553,1401333,"Portátil gaming - Lenovo Ideapad Y520-15IKBN, 15.6"", Full HD, Intel® Core i7-7700HQ, 16 GB RAM, 1",1543.0
ASUS,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,4712900981988,1436913,"Portátil Gaming - Asus GL703GM-E5016, 17"", FHD, Intel Core i7-8750H, GTX1060, 16GB, 1TB+256GB, Negro",1399.0
APPLE,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0190198713117,1426947,"Apple MacBook Pro Retina 15.4"", I7-8750H, 16 GB RAM, 512 GB SSD, Radeon Pro 560X 4 GB, Touch Bar,",2957.0
ASUS,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,4712900931419,1427601,"Portátil Gaming - Asus GL503VD, 15.6"" LED, Intel Core i7-7700HQ, 4 núcleos, NVIDIA GeForce, Negro",1299.0
HP,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0191628364039,1369831,"Portátil gaming - HP 15-cb012ns, Intel Core i7-7700HQ, 8 GB RAM, 1 TB HDD, GTX1050",999.0
HUAWEI,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,6901443219841,1403312,"Portátil - Huawei Matebook D 2018, 15.6&#39;&#39;, Full HD, Intel® Core i7-8550U, 8 GB RAM, 256",999.0
ASUS,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,4712900775990,1388188,"Portáti -Asus VivoBook S510UA-BR249T, 15.6, HD, Intel® Core i3-7100U, 8GB RAM, 256GB SSD, Oro",650.0
HP,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0191628364251,1369835,"Portátil gaming - HP OMEN 15-ce005ns, 15.6"" Full HD, Intel® Core i7-7700HQ, 8 GB RAM, 1 TB HDD +",1199.0
GIGABYTE,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,4719331943561,1416053,AERO 15X V8 I7-8750H/16/512SSD/GTX1070 6GB/W10PRO,2263.0
ASUS,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,4718017026307,1436916,"Portátil - Asus N580GD-E4189T, 15"", FHD, Intel® Core™ i7-8750H, GTX1050, 8GB/16GB, 1TB, Metal",1199.0
TOSHIBA,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,4051528331738,1372236,Toshiba Portégé A30-D-10C,949.0
